Age,PTotal,PMale,PFemale,PTTP,PTTPMale,PTTPFemale,sex_ratio,predicted_total_population_total,predicted_total_population_Male,predicted_total_population_Female,net_migration,net_migration(90+)
52,8358,4315,4043,0.7435010377,0.3838486453,0.3596523924,106.7276775,8611452.069,4445850.165,4165601.904,-93003.68234,-93003.68234
53,9091,4758,4333,0.8087063811,0.4232565132,0.3854498679,109.8084468,9366679.918,4902283.913,4464396.005,-101160.1431,-101160.1431
54,8934,4696,4238,0.7947401616,0.4177411908,0.3769989708,110.8069844,9204918.974,4838403.795,4366515.179,-99413.12492,-99413.12492
55,9019,4727,4292,0.8023014906,0.420498852,0.3818026386,110.1351351,9292496.555,4870343.854,4422152.701,-100358.9628,-100358.9628
56,8603,4390,4213,0.7652954567,0.3905204062,0.3747750505,104.2012817,8863881.568,4523124.501,4340757.067,-95729.92094,-95729.92094
57,8381,4274,4107,0.7455470444,0.380201416,0.3653456284,104.0662284,8635149.532,4403606.861,4231542.671,-93259.61495,-93259.61495
58,9083,4664,4419,0.8079947266,0.4148945728,0.3931001538,105.5442408,9358437.322,4805433.411,4553003.911,-101071.1231,-101071.1231
59,7732,3944,3788,0.6878140731,0.3508456679,0.3369684052,104.1182682,7966468.939,4063599.78,3902869.16,-86037.86455,-86037.86455
60,7699,3881,3818,0.6848784983,0.3452413888,0.3396371096,101.6500786,7932468.231,3998689.337,3933778.894,-85670.6569,-85670.6569
61,7630,3941,3689,0.6787404783,0.3505787975,0.3281616808,106.8311195,7861375.842,4060508.806,3800867.035,-84902.85909,-84902.85909
62,6910,3436,3474,0.6146915734,0.3056556073,0.3090359661,98.90616005,7119542.21,3540194.94,3579347.27,-76891.05587,-76891.05587
63,7213,3719,3494,0.6416454875,0.3308303852,0.3108151024,106.4396108,7431730.53,3831776.77,3599953.76,-80262.68973,-80262.68973
64,6638,3342,3296,0.5904953204,0.2972936669,0.2932016535,101.3956311,6839293.95,3443344.438,3395949.512,-73864.37466,-73864.37466
65,5969,2974,2995,0.530983213,0.26455756,0.266425653,99.29883139,6150006.867,3064185.027,3085821.841,-66420.07417,-66420.07417
66,6007,2973,3034,0.5343635718,0.2644686031,0.2698949687,97.98945287,6189159.198,3063154.702,3126004.496,-66842.91934,-66842.91934
67,5565,2723,2842,0.4950446608,0.2422294,0.2528152607,95.81280788,5733755.774,2805573.58,2928182.194,-61924.56236,-61924.56236
68,5203,2485,2718,0.4628422947,0.2210576787,0.241784616,91.42752024,5360778.31,2560356.352,2800421.958,-57896.40575,-57896.40575
69,4849,2370,2479,0.4313515831,0.2108276453,0.2205239378,95.60306575,4996043.441,2441869.036,2554174.405,-53957.26916,-53957.26916
70,4593,2146,2447,0.4085786392,0.1909013193,0.2176773198,87.69922354,4732280.372,2211076.351,2521204.022,-51108.62802,-51108.62802
71,4253,2027,2226,0.378333323,0.1803154586,0.1980178643,91.06019766,4381970.046,2088467.737,2293502.31,-47325.2765,-47325.2765
72,3848,1837,2011,0.342305814,0.1634136643,0.1788921497,91.34758826,3964688.629,1892706.084,2071982.545,-42818.63719,-42818.63719
73,3522,1573,1949,0.3133058931,0.1399290658,0.1733768273,80.70805541,3628802.846,1620700.419,2008102.427,-39191.07074,-39191.07074
74,3215,1464,1751,0.2859961517,0.1302327733,0.1557633784,83.60936608,3312493.228,1508395.05,1804098.178,-35774.92686,-35774.92686
75,2955,1319,1636,0.2628673805,0.1173340355,0.145533345,80.62347188,3044608.861,1358997.999,1685610.862,-32881.7757,-32881.7757
76,2572,1132,1440,0.2287969214,0.1006991116,0.1280978098,78.61111111,2649994.583,1166327.32,1483667.262,-28619.94149,-28619.94149
77,2458,1088,1370,0.2186558448,0.09678501184,0.1218708329,79.41605839,2532537.591,1120993.043,1411544.548,-27351.40598,-27351.40598
78,2128,918,1210,0.1893000967,0.08166235374,0.107637743,75.8677686,2192530.51,945837.8798,1246692.63,-23679.32951,-23679.32951
79,1747,729,1018,0.1554075512,0.06484951621,0.09055803498,71.61100196,1799976.88,751106.5516,1048870.329,-19439.75031,-19439.75031
80,1548,630,918,0.1377051455,0.05604279179,0.08166235374,68.62745098,1594942.307,649104.4273,945837.8798,-17225.37692,-17225.37692
81,1328,518,810,0.1181346468,0.0460796288,0.07205501801,63.95061728,1368270.92,533708.0847,834562.8351,-14777.32593,-14777.32593
82,1135,429,706,0.100965982,0.0381624725,0.06280350952,60.76487252,1169418.294,442009.2053,727409.0884,-12629.71757,-12629.71757
83,955,340,615,0.0849537558,0.0302453162,0.0547084396,55.28455285,983959.8858,350310.3258,633649.56,-10626.76677,-10626.76677
84,747,248,499,0.06645073883,0.02206128946,0.04438944937,49.6993988,769652.3924,255520.473,514131.9194,-8312.245837,-8312.245837
85,741,227,514,0.06591699796,0.02019319641,0.04572380155,44.16342412,763470.4454,233883.6587,529586.7867,-8245.480811,-8245.480811
86,453,127,326,0.040297436,0.01129751517,0.02899992083,38.95705521,466736.993,130851.2099,335885.783,-5040.759524,-5040.759524
87,414,121,293,0.03682812032,0.0107637743,0.02606434602,41.29692833,426554.3379,124669.263,301885.0749,-4606.78685,-4606.78685
88,314,98,216,0.02793243908,0.008717767611,0.01921467147,45.37037037,323521.8892,100971.7998,222550.0894,-3494.036403,-3494.036403
89,210,61,149,0.0186809306,0.005426365554,0.01325456504,40.93959732,216368.1424,62849.79375,153518.3487,-2336.775938,-2336.775938
90,186,39,147,0.0165459671,0.003469315682,0.01307665142,26.53061224,191640.3547,40182.65502,151457.6997,-2069.715831,-6019.979917
91,127,33,94,0.01129751517,0.002935574808,0.008361940362,35.10638298,130851.2099,34000.7081,96850.50185,-1413.193067,
92,69,19,50,0.006138020053,0.001690179435,0.004447840618,38,71092.38966,19576.16527,51516.22439,-767.7978083,
93,52,20,32,0.004625754243,0.001779136247,0.002846617995,62.5,53576.87336,20606.48976,32970.38361,-578.6302323,
94,25,5,20,0.002223920309,0.0004447840618,0.001779136247,25,25758.11219,5151.622439,20606.48976,-278.1876117,
95,19,5,14,0.001690179435,0.0004447840618,0.001245395373,35.71428571,19576.16527,5151.622439,14424.54283,-211.4225849,
96,18,0,18,0.001601222622,0,0.001601222622,0,18545.84078,0,18545.84078,-200.2950804,
97,11,3,8,0.0009785249359,0.0002668704371,0.0007116544989,37.5,11333.56937,3090.973463,8242.595902,-122.4025491,
98,15,3,12,0.001334352185,0.0002668704371,0.001067481748,25,15454.86732,3090.973463,12363.89385,-166.912567,
99,4,2,2,0.0003558272494,0.0001779136247,0.0001779136247,100,4121.297951,2060.648976,2060.648976,-44.51001787,
100+,15,6,9,0.001334352185,0.0005337408741,0.0008006113112,66.66666667,15454.86732,6181.946927,9272.92039,-166.912567,
