,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
21,-266125.6542,-271544.4915,-278766.4131,-292697.562,-250262.4854,-200359.3699,-157820.7717,-130777.9474,-96010.47696,-165811.7828,-297119.7054,-317808.4065,-389556.0449,-526552.7815,-471922.2389,-458699.2225,-491774.7377,-583761.7707,-658943.1103,-612282.1306,-751553.1667,-734155.3805,-544758.4066,-468888.1672,-464516.5736,-458899.391,-443809.97,-409407.5243,-449104.3252,-445147.5568,-441273.7535,-437748.626,-436536.3572,-441962.1237,-440533.6834,-439610.9088,-439278.3398,-439584.2826,-440193.8677,-439840.2165,-439701.5231
22,-240610.3644,-270287.0835,-309358.0529,-311885.0126,-268885.4649,-219593.2072,-183520.4427,-139304.1604,-112904.8123,-170681.0451,-295655.9787,-355873.2788,-402799.9157,-482219.636,-559667.6943,-475825.4474,-496992.6914,-508944.20200000005,-593645.0782,-652994.5017,-692619.6336,-697572.4678,-681324.4061,-495324.0799,-474829.8729,-454746.5848,-431975.0374,-434443.4466,-458263.8043,-450851.7492,-446056.1245,-444318.0324,-446786.6314,-449255.2684,-447453.5612,-446773.9236,-446917.4834,-447437.3736,-447567.522,-447229.9728,-447185.2551
23,-223667.017,-298428.5423,-292057.7946,-343725.7449,-295227.9101,-232009.2983,-199251.0157,-162080.899,-119205.442,-200052.9713,-281519.1335,-350141.0053,-438961.8912,-480672.7712,-516065.4912,-563943.4851,-502732.4404,-513988.8814,-531127.2425,-586355.3265,-727195.5265,-651937.4692,-644156.9626,-633777.036,-498689.8301,-447125.8316,-464378.8551,-418094.0534,-492413.1212,-464140.3383,-457230.4399,-459251.3616,-458225.8629,-466252.2248,-461020.0455,-460395.9869,-461029.0963,-461384.6433,-462016.3994,-461169.2343,-461199.072
24,-246903.0326,-240020.2714,-323308.6378,-329044.6177,-311092.6154,-254677.2447,-208984.4169,-174418.2991,-134184.8801,-212650.5123,-321721.2129,-349733.0907,-448325.7218,-533915.858,-504480.6723,-509623.5572,-580897.3859,-517612.5243,-536065.7491,-523776.9759,-641243.1344,-709589.8922,-617262.9666,-615422.5681,-658824.7066,-462012.1142,-498603.4316,-459830.3398,-538938.6321,-523641.8449,-496605.2725,-503523.9042,-504507.9987,-513443.5305,-508344.5102,-505285.0432,-507020.9974,-507720.416,-508362.8995,-507346.7733,-507147.2259
25,-240302.0172,-267115.7448,-260737.965,-359094.6793,-298023.2083,-264956.3549,-220542.2853,-182206.3771,-142499.2404,-239420.2869,-331845.1695,-405188.0062,-432314.0888,-543784.8555,-543849.9607,-504271.9108,-511046.3798,-588664.3464,-541626.1418,-518813.7457,-564123.2289,-598904.7315,-621632.1339,-543429.2225,-585823.272,-645835.8802,-495730.0466,-478841.2621,-549931.9367,-551232.4795,-544314.321,-524010.0092,-529666.0017,-539830.9496,-537810.7522,-535126.4067,-533288.8239,-535144.5868,-536240.3038,-535522.1747,-535064.4592
26,-247817.3922,-258992.6665,-281265.2542,-288547.001,-314165.5921,-257312.8881,-235364.9895,-188819.4646,-147237.0668,-246333.2992,-359128.4411,-416545.2073,-485263.7053,-500843.8884,-554702.7719,-534798.7729999999,-499845.1727,-527488.7276,-615923.2304,-504930.5842,-557769.7091,-531919.2959,-558043.0369,-578110.9484,-559984.2763,-612101.6671,-648417.7459,-515079.0049,-582738.7285,-583664.2845,-588400.2862,-583660.01,-570708.4628,-581834.3544,-581653.4796,-581251.3186,-579821.5251,-579053.8281,-580722.9012,-580500.6105,-580270.0367
27,-264863.2672,-257779.7685,-277011.0923,-310722.8555,-255427.3077,-269033.4762,-224182.49,-202143.5554,-151913.1223,-254966.1885,-370997.8295,-459934.4385,-502232.4148,-596007.0115,-515142.5248,-530936.8834,-534979.3939,-523047.9887,-537346.1027,-582329.2096,-551307.6588,-527018.6838,-492269.3562,-520636.8087,-603495.2497,-579669.4393,-633993.9218,-663715.1699,-600302.1179,-616235.1797,-618783.1657,-626605.911,-625128.3088,-617410.9366,-620832.7004,-621752.2045,-622346.0123,-621494.0325,-620767.1773,-621438.4254,-621559.5704
28,-156095.0076,-298428.5423,-280291.7793,-306311.4021,-289248.5638,-224414.2845,-238717.1205,-194347.9454,-164248.7668,-272701.0246,-389366.1387,-484087.2762,-565554.6723,-606185.382,-603269.8973,-512041.124,-533657.5123,-548164.8078,-543638.1259,-511004.4674,-631716.7601,-527580.5374,-492476.006,-461108.0644,-533002.4555,-616408.0022,-601846.1484,-652835.0728,-573039.9487,-595426.3255,-607911.0995,-606211.719,-607084.8331,-597934.7852,-602913.7525,-604411.2379,-603711.2655,-603211.1748,-602436.4432,-603336.7748,-603421.3792
29,-112744.0608,-239230.2186,-320602.8376,-308789.88,-280122.1931,-253954.4869,-193603.0242,-202610.5388,-154995.4891,-284963.5246,-395017.9817,-498214.0027,-582885.5189,-657943.4785,-599323.4206,-572946.5899,-498453.7184,-539389.9078,-556953.8031,-502743.9863,-553774.6547,-600715.1487,-490586.6363,-448150.35799999995,-472878.7082,-544691.9431,-654477.4589,-634760.0728,-550991.7082,-571559.9782,-591296.2322,-600617.0901,-589845.0163,-580862.005,-586836.0644,-589891.2816,-589610.2915,-587408.9318,-586921.7149,-588133.6568,-588393.1753
30,-141542.5662,-131093.1301,-276804.1331,-362403.2694,-282584.2769,-252604.8679,-227351.3014,-172294.2779,-166169.8411,-281624.2828,-439793.8008,-536343.2825,-635550.5991,-713785.2982,-689678.6428,-602411.7313,-587611.1529999999,-523154.5664,-571110.8554,-530128.5223,-535672.8427,-520401.2969,-547533.4182,-430371.1794,-448154.6637,-475465.4605,-547308.7309,-629787.9854,-506217.604,-521386.8889,-536033.3339,-548146.9086,-548314.5442,-532019.8559,-537180.3063,-540338.9898,-541200.121,-539810.7634,-538110.0073,-539328.0376,-539757.5838
31,-140910.5348,-142665.7348,-147799.5485,-298033.9976,-318738.0334,-244046.85,-214580.0314,-188736.6127,-134716.1096,-287990.0615,-392788.6602,-557490.4338,-621996.325,-720344.005,-695916.6223,-664307.1802,-582880.2083,-582269.6824,-529444.4921,-522735.7388,-562220.7614,-500049.7107,-487162.1539,-500803.0255,-447597.1881,-459919.9067,-476441.3825,-549298.665,-486812.0336,-484013.8352,-491297.1646,-497572.6162,-501798.8629,-492298.9025,-493396.2763,-495272.7645,-496067.8845,-495766.9381,-494560.5532,-495012.8833,-495336.2047
32,-186791.5868,-139939.4962,-174995.5239,-165975.0052,-226178.49300000002,-287874.642,-216273.556,-187493.8343,-156508.8757,-235343.9549,-435180.7012,-533659.6339,-694423.7437,-774546.1479999999,-749639.6287,-698595.4988,-654505.3187,-609518.0562,-607253.4076,-504757.0447,-551138.9342,-524833.6976,-463013.6481,-445739.6219,-518591.7103,-454590.0455,-465431.4813,-483374.6359,-473545.499,-479106.6744,-471209.6672,-474533.5916,-476354.0136,-474949.8892,-475230.7672,-474455.5858,-475104.7695,-475219.0051,-474992.0034,-475000.4262,-474954.358
33,-179832.7734,-178195.8565,-163306.1601,-192574.1718,-129694.42800000001,-198571.6547,-248354.4972,-185543.0488,-149714.079,-265464.1393,-341264.3374,-567366.2608,-635886.8693,-836327.9285,-770963.3338,-729241.9241,-697327.3249,-664547.6925,-615447.6705,-572472.1649,-514479.2274,-526800.1852,-486719.3329,-431987.4684,-447374.1978,-523924.9015,-462614.995,-470125.4854,-467205.4096,-474248.9979,-479623.9579,-470763.7692,-472393.524,-472847.1317,-473975.4761,-473920.7718,-472780.1346,-473183.4076,-473341.3844,-473440.2349,-473333.1867
34,-172904.4674,-207383.3008,-204897.2995,-182778.8479,-164904.0772,-118083.0826,-174494.1316,-213343.625,-151579.5595,-262861.9877,-389806.979,-464807.9444,-710228.4412,-775659.8906,-847824.1517,-762989.8174,-726687.0107,-702524.8914,-677416.7833,-602633.3333,-585499.3792,-492090.1179,-483147.2434,-456012.6449,-439179.30600000004,-453828.4217,-539598.9551,-469248.0583,-471573.4772,-474685.6437,-481786.9112,-487378.6091,-476934.5399,-478471.8362,-479851.508,-480884.6809,-480704.2348,-479369.36,-479856.324,-480133.2215,-480189.5642
35,-189895.237,-195799.5686,-231319.0941,-229134.6849,-155962.8256,-152123.3609,-103872.4134,-151121.8532,-174150.6387,-267898.7705,-389346.3253,-527369.1615,-571116.0634,-859190.5904,-787353.943,-840222.8264,-776048.8522,-750520.3973,-737227.5858,-651224.3986,-599578.4028,-550554.1072,-449669.975,-435192.6515,-450133.7022,-437936.6753,-463866.7667,-540933.8592,-465612.731,-471696.7469,-476009.3558,-483623.8919,-487575.317,-476903.6085,-479161.784,-480654.7914,-481583.8786,-481175.8759,-479895.9877,-480494.4635,-480760.9994
36,-179640.8306,-199727.5777,-216264.7267,-255982.8852,-204278.9057,-141290.0691,-133570.199,-87868.19872,-121077.0996,-308974.7951,-379074.1136,-525522.8112,-649958.4820000001,-677031.7903,-871216.5745,-777710.4317,-847569.6035,-785051.5828,-769382.7511,-702661.512,-648267.534,-558014.2745,-500535.3484,-414345.2634,-443053.7617,-465580.9086,-441164.1798,-466498.7864,-446128.58,-452485.2433,-454371.5396,-452129.6658,-454322.763,-451887.5583,-453039.354,-453150.1761,-452905.9034,-453061.151,-452808.8286,-452993.0826,-452983.8283
